Id_code,PO_ug_L,NO2N_ug_L,NN_ug_L,NH4_ug_L
N_24_3_AI,37.4,10.08,98.6,115
N_25_3_AI,96,14.04,226,314
N_26_3_AI,41.6,20.4,125.6,110.6
N_27_3_AI,58.4,14.06,101.6,169
N_28_3_AI,25.8,13.84,57.4,35.2
N_29_3_AI,105,7.68,92.8,54.4
N_30_3_AI,284,131.4,910,790
N_31_3_AI,97.2,22.4,202,222
N_32_3_AI,51.8,24,210,99.4
N2_Ocean_4_AI,34.8,2.96,83.2,40
N_1_4_AI,21.8,5.11,53.4,64.8
N_2_4_AI,22.8,12.94,27.8,59.4
N_3_4_AI,32.6,15.52,47.8,71.6
N_4_4_AI,41.6,11.94,31.6,129.6
N_5_4_AI,25,7.76,24,49.2
N_6_4_AI,18.6,48.3,69.5,71
N_7_4_AI,42.6,-2.74,17.54,103.4
N_8_4_AI,50.3,4.44,15,105
N_9_4_AI,74.4,21.2,100.2,374
N_10_4_AI,159.8,56,370,406
N_11_4_AI,55,17.7,163.8,242
N_12_4_AI,69.8,20.2,165.8,342
N_13_4_AI,84.4,21.6,158,466
N_14_4_AI,63.2,19.72,92.2,364
N_15_4_AI,28.2,11.98,56.2,69.2
N_16_4_AI,42.2,28.3,360,154.6
N1_Ocean_4_AI,36,1.184,240,61.4
N_17_4_AI,83.6,64.6,189.8,276
N_18_4_AI,41.4,7.34,103,161
N_19_4_AI,66.4,11.2,112.2,266
N_20_4_AI,39.8,16.76,104.6,62.4
N_21_4_AI,41.2,17.14,74.8,137.4
N_22_4_AI,50,10.6,50.2,82.4
N_23_4_AI,130.4,45.3,174,320
N_24_4_AI,33,9.58,79.8,114.2
N_25_4_AI,126.2,30.8,186,328
N_26_4_AI,48,34.4,100.4,111.6
N_27_4_AI,46.6,8.26,41.2,137
